wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 6650520 172676   8768 172240 52932 38920 52932 38920 2967 3953  1  2 94  3  0
 0  1 6653496 173936   8688 171532 48884 51204 48884 51204 3014 3850  1  2 94  3  0
 0  1 6609720 191324   8260 168776 61796 16392 61796 16392 3161 4580  1  2 95  2  0
 0  1 6537272 155628   7988 167192 72700   16 72700    16 3667 5344  1  1 94  3  0
 0  2 6532256 170140   7872 171612 13380 8200 18628  8200 2280 2220  0  1 89 10  0
 0  1 6489656 172724   7628 170908 47556 10244 49308 10352 2866 3729  1  1 93  5  0
 0  1 6443216 192372   6732 167008 57684 12308 57704 13072 3362 4375  1  1 93  5  0
 0  2 6469944 216356   6064 163752 42748 69212 42748 69212 2606 3241  1  2 91  7  0
 0  1 6404664 160412   5736 163172 65220  424 65220   424 3284 4846  1  1 95  3  0
 1  1 6399800 152380   4552 162312 55784 51004 55784 51004 3117 4211  1  2 94  3  0
 0  2 6416184 157924   4372 161080 39656 55496 39656 55564 2438 3060  1  2 94  4  0
 0  1 6438968 175108   4328 159976 30944 53248 31104 53248 2348 2786  0  2 90  8  0
 0  1 6448952 187992   3740 159104 39740 49160 39740 49160 2331 3059  1  1 95  3  0
 0  2 6428216 169628   2564 157080 60064 38836 60064 38836 3250 4418  1  2 94  3  0
 0  1 6488888 235020   2188 157164 21972 82008 21972 82008 1629 1826  0  2 95  3  0
 0  1 6419256 168996   2188 157036 68496    0 68496     0 3384 4985  1  1 95  3  0
 0  1 6424376 163436   1944 155836 54744 61440 54948 61440 3223 4122  1  2 92  6  0
 0  2 6434616 168492   1936 153900 55772 66656 55772 66716 3170 4135  1  2 94  4  0
 0  1 6425912 162444   1928 152704 45088 35744 45088 35744 2623 3448  0  1 94  4  0
 1  1 6429752 169248   1928 152064 49412 52976 49412 52976 2910 3754  0  2 94  4  0
 0  1 6443984 169248   1928 152004 40096 53520 40096 53520 2547 3091  1  2 95  3  0
 1  0 6432568 164688   1928 151856 47004 34816 47004 34816 2926 3716  1  2 94  3  0
