wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 6661268 156432   3144 158272 46904 57400 47980 57400 3109 3621  0  2 93  5  0
 1  1 6661268 154664   3144 158176 64940 64288 64940 64288 3575 4652  0  2 94  3  0
 0  2 6673312 154736   3144 158752 42648 54612 43104 54612 2919 3456  0  2 92  6  0
 1  1 6668692 154240   3144 158880 50448 45844 50616 46544 2996 3804  0  2 93  5  0
 1  0 6673044 152948   3144 158796 58256 62832 58256 62832 3465 4320  0  2 94  3  0
 0  1 6671764 153792   3152 158976 48488 47168 48832 47244 3103 3728  1  2 89  9  0
 0  1 6672020 153800   3152 158920 67124 67660 67124 67660 3743 4867  0  2 93  4  0
 0  1 6671988 152792   3152 158920 63884 63556 63884 63556 3446 4599  0  2 93  5  0
 0  1 6666132 150524   3152 158676 55424 49212 55424 49680 3153 4074  0  2 94  4  0
 0  1 6668692 150524   3152 158536 66908 69700 66908 69700 3817 4815  1  3 94  3  0
 0  1 6666644 149012   3152 158280 73788 71740 73788 71740 4040 5318  0  3 93  4  0
 1  1 6667668 149516   3160 157980 37964 38948 37964 39012 2090 2773  0  1 91  8  0
 0  1 6666328 149512   3160 157980 73320 71744 73320 71744 3940 5268  0  3 93  3  0
 1  0 6665620 149464   3160 157912 64304 63552 64304 63552 3461 4611  0  2 94  3  0
 0  3 6753940 220308   2608 158984 14172 102316 18148 102316 1613 1372  0  2 87 10  0
 1  2 6765716 237984   2760 165356 5204 17048 11744 17048 1291 1161  0  1 86 13  0
 0  1 6715284 180228   2928 171652 50692    0 57120     0 3086 4069  0  1 91  8  0
 0  3 6766740 231132   2808 162684 40172 91592 40420 91652 2302 2935  0  2 88  9  0
 0  1 6668180 214248   2804 161112 110376 11592 110840 11592 4893 7614  1  2 97  0  0
 0  1 6506644 178684   2804 159140 161332   76 161332    76 6709 10852  1  3 95  1  0
 0  1 6449300 203128   2804 155080 110652 53336 110652 53336 4942 7562  1  3 94  3  0
 0  1 6400660 154736   2808 156676 63304 14336 64628 14336 3705 5006  1  1 94  4  0
 0  1 6404500 157916   2812 156088 67748 71684 67748 71696 3501 4788  0  2 92  5  0
 0  1 6404756 152876   2800 155976 61136 61444 61136 61444 3425 4385  0  2 94  3  0
 0  1 6407060 152656   2784 155704 71500 73728 71500 73728 3681 5014  0  2 93  4  0
 0  1 6410348 153924   2708 155468 62324 65536 62324 65536 3317 4429  0  2 95  2  0
 1  0 6414740 147600   2636 155876 61324 65536 61708 65536 3464 4424  0  2 94  4  0
 0  2 6413716 148308   3148 156156 46080 45056 47440 45056 2710 3446  0  2 95  3  0
 1  3 6449044 170792   4268 155780 6528 41492 12396 41492 1575 1200  0  1 91  8  0
 0  3 6513812 240020   4280 159576 4144 69180  7728 69180 1402  832  0  1 86 13  0
 0  1 6448020 172232   4408 161476 65944    0 67968     0 3298 4810  0  1 94  5  0
 1  1 6445716 164656   4552 157692 31344 29156 34856 29156 2757 3025  0  1 90  8  0
 0  2 6486164 202200   4552 157700 53716 94012 53716 94220 2903 3869  0  2 91  7  0
 0  3 6503572 220304   3692 149924 53524 71016 53536 71364 2913 3857  0  2 89  8  0
 1  0 6518164 239284   3704 154056 16992 31580 20820 31640 1666 1711  0  1 84 15  0
 0  1 6419348 153604   2476 150544 131788 32768 131868 33212 6061 9075  1  3 94  2  0
 0  2 6430612 153824   3296 151328 39948 51200 41620 51200 2746 3422  0  2 92  6  0
 0  1 6425236 155088   4000 152432 46612 40960 48576 40960 3044 3703  0  2 92  6  0
 0  2 6448276 153576   4000 152416 56084 79128 56084 79128 3061 4002  0  2 94  3  0
 0  2 6462100 153260   4000 152416 49656 63488 49656 63488 2603 3526  0  2 92  6  0
 0  1 6478228 153984   4008 152404 54208 70376 54208 70444 2938 3888  0  2 93  5  0
 0  2 6502292 163876   3956 152264 61776 85912 61776 85912 3267 4389  0  2 93  4  0
 0  1 6495636 156760   3868 152356 66084 59500 66284 59500 3425 4752  1  2 93  4  0
 0  2 6531732 171912   3840 152296 57452 93196 57452 93196 3120 4071  0  2 93  5  0
 0  1 6512020 156540   3784 152228 76076 56324 76076 56324 3658 5289  0  2 93  4  0
 1  0 6531732 154020   3784 152152 56068 75776 56068 75776 3088 4013  0  2 93  5  0
 0  2 6546392 154540   3784 151768 54388 69224 54388 69224 3694 3878  0  2 92  6  0
 0  0 6520436 158832   3784 151744 77676 52100 77800 52100 4068 5478  1  2 96  2  0
 1  1 6518676 154060   3784 151168 83716 81784 83716 81784 4259 5828  0  3 93  4  0
 1  0 6515860 158060   3784 151072 71220 68572 71220 68572 3623 4941  0  2 93  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6536596 166564   3776 150824 63836 84396 63836 84396 3440 4468  0  2 94  3  0
 1  1 6534292 171668   3644 150152 75816 73876 75816 73876 3859 5267  0  2 93  4  0
 0  2 6542740 162008   3568 150432 59268 67228 59680 67228 3539 4414  0  2 90  7  0
