timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%]
2020/05/18 16:54:59.440, 39.14, 47, 4
2020/05/18 16:54:59.546, 104.99, 73, 6
2020/05/18 16:54:59.648, 108.22, 92, 14
2020/05/18 16:54:59.749, 108.47, 92, 14
2020/05/18 16:54:59.851, 108.65, 100, 17
2020/05/18 16:54:59.952, 108.89, 100, 17
2020/05/18 16:55:00.054, 108.47, 100, 17
2020/05/18 16:55:00.156, 108.71, 100, 17
2020/05/18 16:55:00.258, 108.95, 100, 17
2020/05/18 16:55:00.359, 108.89, 100, 17
2020/05/18 16:55:00.461, 108.65, 100, 17
2020/05/18 16:55:00.563, 108.95, 100, 17
2020/05/18 16:55:00.668, 108.89, 100, 17
2020/05/18 16:55:00.770, 108.89, 100, 17
2020/05/18 16:55:00.871, 109.14, 100, 17
2020/05/18 16:55:00.973, 109.19, 100, 17
2020/05/18 16:55:01.075, 109.14, 100, 17
2020/05/18 16:55:01.176, 108.89, 100, 17
2020/05/18 16:55:01.278, 109.14, 100, 17
2020/05/18 16:55:01.379, 109.14, 100, 17
2020/05/18 16:55:01.481, 109.14, 100, 17
2020/05/18 16:55:01.583, 109.14, 100, 17
2020/05/18 16:55:01.684, 109.14, 100, 17
2020/05/18 16:55:01.790, 108.95, 100, 17
2020/05/18 16:55:01.892, 109.14, 100, 17
2020/05/18 16:55:01.993, 109.19, 100, 17
2020/05/18 16:55:02.095, 109.12, 100, 17
2020/05/18 16:55:02.196, 109.14, 100, 17
2020/05/18 16:55:02.298, 109.38, 100, 17
2020/05/18 16:55:02.399, 109.43, 100, 17
2020/05/18 16:55:02.501, 109.14, 100, 17
2020/05/18 16:55:02.602, 109.38, 100, 17
2020/05/18 16:55:02.704, 109.38, 100, 17
2020/05/18 16:55:02.806, 107.93, 100, 17
2020/05/18 16:55:02.907, 108.89, 100, 17
2020/05/18 16:55:03.013, 108.88, 100, 17
2020/05/18 16:55:03.114, 109.19, 100, 17
2020/05/18 16:55:03.216, 108.95, 100, 17
2020/05/18 16:55:03.318, 108.89, 100, 17
2020/05/18 16:55:03.419, 109.14, 100, 17
2020/05/18 16:55:03.521, 109.14, 100, 17
2020/05/18 16:55:03.623, 109.14, 100, 17
2020/05/18 16:55:03.724, 109.19, 100, 17
2020/05/18 16:55:03.826, 109.43, 100, 17
2020/05/18 16:55:03.928, 109.14, 100, 17
2020/05/18 16:55:04.029, 109.19, 100, 17
2020/05/18 16:55:04.135, 99.00, 100, 17
2020/05/18 16:55:04.237, 46.47, 100, 17
2020/05/18 16:55:04.338, 37.15, 77, 15
2020/05/18 16:55:04.570, 37.63, 2, 0
2020/05/18 16:55:04.676, 37.63, 0, 0
2020/05/18 16:55:04.777, 37.63, 0, 0
2020/05/18 16:55:04.879, 37.63, 0, 0
2020/05/18 16:55:04.981, 37.63, 0, 0
2020/05/18 16:55:05.083, 37.39, 0, 0
2020/05/18 16:55:05.184, 37.39, 0, 0
2020/05/18 16:55:05.286, 37.39, 0, 0
2020/05/18 16:55:05.388, 37.39, 0, 0
2020/05/18 16:55:05.489, 37.39, 0, 0
2020/05/18 16:55:05.591, 37.39, 0, 0
2020/05/18 16:55:05.698, 37.39, 0, 0
2020/05/18 16:55:05.799, 37.39, 0, 0
2020/05/18 16:55:05.901, 37.39, 0, 0
2020/05/18 16:55:06.003, 37.15, 0, 0
2020/05/18 16:55:06.104, 37.15, 0, 0
2020/05/18 16:55:06.206, 37.15, 0, 0
2020/05/18 16:55:06.308, 37.15, 0, 0
2020/05/18 16:55:06.409, 37.15, 0, 0
2020/05/18 16:55:06.511, 37.05, 0, 0
2020/05/18 16:55:06.613, 37.15, 0, 0
2020/05/18 16:55:06.714, 37.15, 0, 0
2020/05/18 16:55:06.821, 37.15, 0, 0
2020/05/18 16:55:06.922, 37.15, 0, 0
2020/05/18 16:55:07.024, 37.15, 0, 0
2020/05/18 16:55:07.126, 37.15, 0, 0
2020/05/18 16:55:07.228, 37.15, 0, 0
2020/05/18 16:55:07.329, 37.15, 0, 0
2020/05/18 16:55:07.431, 37.15, 0, 0
2020/05/18 16:55:07.533, 37.15, 0, 0
2020/05/18 16:55:07.635, 37.15, 0, 0
2020/05/18 16:55:07.736, 37.05, 0, 0
2020/05/18 16:55:07.838, 37.15, 0, 0
2020/05/18 16:55:07.944, 37.05, 0, 0
2020/05/18 16:55:08.046, 37.15, 0, 0
2020/05/18 16:55:08.147, 37.15, 0, 0
2020/05/18 16:55:08.249, 37.15, 0, 0
2020/05/18 16:55:08.351, 37.15, 0, 0
2020/05/18 16:55:08.453, 37.05, 0, 0
2020/05/18 16:55:08.554, 37.15, 0, 0
2020/05/18 16:55:08.656, 37.15, 0, 0
2020/05/18 16:55:08.758, 36.90, 0, 0
2020/05/18 16:55:08.859, 36.81, 0, 0
2020/05/18 16:55:08.966, 37.15, 0, 0
2020/05/18 16:55:09.067, 37.15, 0, 0
2020/05/18 16:55:09.169, 36.81, 0, 0
2020/05/18 16:55:09.271, 37.15, 0, 0
2020/05/18 16:55:09.372, 37.15, 0, 0
2020/05/18 16:55:09.474, 36.81, 0, 0
2020/05/18 16:55:09.576, 36.90, 0, 0
2020/05/18 16:55:09.677, 36.90, 0, 0
2020/05/18 16:55:09.779, 36.90, 0, 0
2020/05/18 16:55:09.881, 36.90, 0, 0
2020/05/18 16:55:09.988, 36.90, 0, 0
2020/05/18 16:55:10.089, 36.90, 0, 0
2020/05/18 16:55:10.263, 36.67, 0, 0
2020/05/18 16:55:10.369, 39.14, 4, 0
2020/05/18 16:55:10.471, 39.23, 4, 0
2020/05/18 16:55:10.573, 39.23, 74, 6
2020/05/18 16:55:10.674, 86.47, 76, 6
2020/05/18 16:55:10.776, 94.26, 76, 6
2020/05/18 16:55:10.878, 95.37, 100, 12
2020/05/18 16:55:10.979, 95.62, 100, 12
2020/05/18 16:55:11.081, 95.71, 100, 12
2020/05/18 16:55:11.182, 95.71, 100, 11
2020/05/18 16:55:11.284, 95.71, 100, 11
2020/05/18 16:55:11.390, 95.46, 100, 11
2020/05/18 16:55:11.492, 95.31, 100, 11
2020/05/18 16:55:11.594, 95.95, 100, 12
2020/05/18 16:55:11.695, 95.81, 100, 12
2020/05/18 16:55:11.797, 95.76, 100, 12
2020/05/18 16:55:11.898, 96.04, 100, 12
2020/05/18 16:55:12.000, 95.79, 100, 12
2020/05/18 16:55:12.102, 95.57, 100, 12
2020/05/18 16:55:12.204, 96.10, 100, 11
2020/05/18 16:55:12.305, 95.76, 100, 11
2020/05/18 16:55:12.407, 96.04, 100, 11
2020/05/18 16:55:12.513, 96.10, 100, 12
2020/05/18 16:55:12.615, 96.04, 100, 12
2020/05/18 16:55:12.716, 95.81, 100, 12
2020/05/18 16:55:12.818, 95.79, 100, 12
2020/05/18 16:55:12.919, 96.04, 100, 12
2020/05/18 16:55:13.021, 96.10, 100, 12
2020/05/18 16:55:13.122, 95.95, 100, 12
2020/05/18 16:55:13.223, 95.95, 100, 11
2020/05/18 16:55:13.325, 95.95, 100, 11
2020/05/18 16:55:13.426, 95.94, 100, 12
2020/05/18 16:55:13.528, 95.57, 100, 12
2020/05/18 16:55:13.629, 95.95, 100, 12
2020/05/18 16:55:13.735, 96.19, 100, 12
2020/05/18 16:55:13.836, 96.29, 100, 12
2020/05/18 16:55:13.938, 96.04, 100, 12
2020/05/18 16:55:14.040, 96.04, 100, 12
2020/05/18 16:55:14.141, 96.04, 100, 12
2020/05/18 16:55:14.243, 95.31, 100, 12
2020/05/18 16:55:14.345, 96.19, 100, 12
2020/05/18 16:55:14.446, 96.34, 100, 12
2020/05/18 16:55:14.548, 96.34, 100, 12
2020/05/18 16:55:14.650, 96.04, 100, 12
2020/05/18 16:55:14.751, 96.34, 100, 11
2020/05/18 16:55:14.857, 95.81, 100, 11
2020/05/18 16:55:14.959, 95.33, 100, 11
2020/05/18 16:55:15.060, 96.28, 100, 12
2020/05/18 16:55:15.162, 96.29, 100, 12
2020/05/18 16:55:15.264, 96.10, 100, 11
2020/05/18 16:55:15.365, 96.29, 100, 12
2020/05/18 16:55:15.467, 95.95, 100, 12
2020/05/18 16:55:15.568, 95.79, 100, 11
2020/05/18 16:55:15.670, 96.29, 100, 11
2020/05/18 16:55:15.772, 96.28, 100, 11
2020/05/18 16:55:15.878, 96.29, 100, 12
2020/05/18 16:55:15.980, 96.34, 100, 12
2020/05/18 16:55:16.082, 96.29, 100, 12
2020/05/18 16:55:16.183, 96.04, 100, 11
2020/05/18 16:55:16.285, 95.79, 100, 11
2020/05/18 16:55:16.386, 96.29, 100, 11
2020/05/18 16:55:16.488, 96.29, 100, 11
2020/05/18 16:55:16.590, 96.34, 100, 11
2020/05/18 16:55:16.691, 96.29, 100, 11
2020/05/18 16:55:16.793, 96.28, 100, 11
2020/05/18 16:55:16.895, 96.29, 100, 12
2020/05/18 16:55:17.000, 95.81, 100, 12
2020/05/18 16:55:17.102, 96.54, 100, 12
2020/05/18 16:55:17.203, 96.54, 100, 12
2020/05/18 16:55:17.305, 96.54, 100, 12
2020/05/18 16:55:17.407, 96.54, 100, 11
2020/05/18 16:55:17.509, 96.54, 100, 11
2020/05/18 16:55:17.610, 89.08, 100, 11
2020/05/18 16:55:17.712, 46.87, 100, 12
2020/05/18 16:55:17.814, 45.81, 100, 12
2020/05/18 16:55:17.915, 37.49, 76, 15
2020/05/18 16:55:18.105, 37.88, 2, 0
2020/05/18 16:55:18.206, 37.88, 0, 0
2020/05/18 16:55:18.308, 37.88, 0, 0
2020/05/18 16:55:18.410, 37.63, 0, 0
2020/05/18 16:55:18.511, 37.63, 0, 0
2020/05/18 16:55:18.613, 37.63, 0, 0
2020/05/18 16:55:18.715, 37.63, 0, 0
2020/05/18 16:55:18.816, 37.63, 0, 0
2020/05/18 16:55:18.918, 37.63, 0, 0
2020/05/18 16:55:19.024, 37.39, 0, 0
2020/05/18 16:55:19.126, 37.39, 0, 0
2020/05/18 16:55:19.228, 37.39, 0, 0
2020/05/18 16:55:19.329, 37.39, 0, 0
2020/05/18 16:55:19.431, 37.39, 0, 0
2020/05/18 16:55:19.533, 37.39, 0, 0
2020/05/18 16:55:19.634, 37.39, 0, 0
2020/05/18 16:55:19.736, 37.39, 0, 0
2020/05/18 16:55:19.838, 37.39, 0, 0
2020/05/18 16:55:19.939, 37.39, 0, 0
2020/05/18 16:55:20.041, 37.39, 0, 0
2020/05/18 16:55:20.147, 37.39, 0, 0
2020/05/18 16:55:20.249, 37.39, 0, 0
2020/05/18 16:55:20.350, 37.39, 0, 0
2020/05/18 16:55:20.452, 37.39, 0, 0
2020/05/18 16:55:20.554, 37.39, 0, 0
2020/05/18 16:55:20.656, 37.39, 0, 0
2020/05/18 16:55:20.757, 37.15, 0, 0
2020/05/18 16:55:20.859, 37.15, 0, 0
2020/05/18 16:55:20.961, 37.39, 0, 0
2020/05/18 16:55:21.062, 37.15, 0, 0
2020/05/18 16:55:21.169, 37.15, 0, 0
2020/05/18 16:55:21.271, 37.15, 0, 0
2020/05/18 16:55:21.372, 37.15, 0, 0
2020/05/18 16:55:21.474, 37.15, 0, 0
2020/05/18 16:55:21.576, 37.15, 0, 0
2020/05/18 16:55:21.678, 37.15, 0, 0
2020/05/18 16:55:21.779, 37.15, 0, 0
2020/05/18 16:55:21.881, 37.15, 0, 0
2020/05/18 16:55:21.983, 37.15, 0, 0
2020/05/18 16:55:22.084, 37.15, 0, 0
2020/05/18 16:55:22.191, 37.15, 0, 0
2020/05/18 16:55:22.292, 37.15, 0, 0
2020/05/18 16:55:22.394, 37.15, 0, 0
2020/05/18 16:55:22.496, 37.15, 0, 0
2020/05/18 16:55:22.598, 37.15, 0, 0
2020/05/18 16:55:22.699, 37.15, 0, 0
2020/05/18 16:55:22.801, 37.15, 0, 0
2020/05/18 16:55:22.903, 37.15, 0, 0
2020/05/18 16:55:23.004, 37.15, 0, 0
2020/05/18 16:55:23.106, 37.15, 0, 0
2020/05/18 16:55:23.213, 37.15, 0, 0
2020/05/18 16:55:23.314, 37.15, 0, 0
2020/05/18 16:55:23.416, 37.15, 0, 0
2020/05/18 16:55:23.518, 37.15, 0, 0
2020/05/18 16:55:23.620, 37.15, 0, 0
2020/05/18 16:55:23.723, 37.39, 0, 0
2020/05/18 16:55:23.825, 36.91, 0, 0
2020/05/18 16:55:23.926, 39.47, 8, 1
2020/05/18 16:55:24.028, 39.47, 8, 1
2020/05/18 16:55:24.130, 39.47, 72, 6
2020/05/18 16:55:24.236, 137.65, 76, 10
2020/05/18 16:55:24.340, 138.47, 76, 10
2020/05/18 16:55:24.441, 141.08, 100, 37
2020/05/18 16:55:24.543, 142.03, 100, 37
2020/05/18 16:55:24.645, 141.32, 100, 37
2020/05/18 16:55:24.746, 142.03, 100, 37
2020/05/18 16:55:24.848, 140.16, 100, 37
2020/05/18 16:55:24.949, 142.03, 100, 37
2020/05/18 16:55:25.051, 142.28, 100, 37
2020/05/18 16:55:25.153, 142.28, 100, 37
2020/05/18 16:55:25.260, 142.77, 100, 37
2020/05/18 16:55:25.362, 140.74, 100, 37
2020/05/18 16:55:25.463, 142.52, 100, 37
2020/05/18 16:55:25.565, 143.10, 100, 37
2020/05/18 16:55:25.666, 141.80, 100, 37
2020/05/18 16:55:25.768, 142.77, 100, 37
2020/05/18 16:55:25.870, 140.74, 100, 37
2020/05/18 16:55:25.971, 142.52, 100, 37
2020/05/18 16:55:26.073, 142.52, 100, 37
2020/05/18 16:55:26.174, 142.20, 100, 37
2020/05/18 16:55:26.281, 142.92, 100, 37
2020/05/18 16:55:26.383, 45.27, 100, 37
2020/05/18 16:55:26.485, 39.81, 100, 28
2020/05/18 16:55:26.586, 37.83, 48, 12
2020/05/18 16:55:26.767, 37.88, 0, 0
2020/05/18 16:55:26.869, 37.88, 0, 0
2020/05/18 16:55:26.970, 37.88, 0, 0
2020/05/18 16:55:27.072, 37.88, 0, 0
2020/05/18 16:55:27.174, 37.88, 0, 0
