wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 6483592 178716   6864 171076 36708 67584 37280 67584 2496 2925  0  2 91  7  0
 0  2 6479508 179724   6856 171424 61620 57344 62368 57344 3429 4551  1  2 91  7  0
 0  1 6458644 168132   6848 171308 71996 51200 72208 51200 3508 5090  1  2 94  4  0
 0  4 6456980 166440   6852 172368 30492 28676 31900 28728 2404 2844  0  1 89  9  0
 0  2 6446228 155352   6852 172832 11676    0 11936     0 1832 1868  0  1 91  8  0
 0  2 6468640 172236   6848 172616 10964 32768 10964 32768 2062 2222  0  1 91  8  0
 0  2 6461472 164140   6848 172704 9416    0  9544     0 2051 2458  0  1 89 10  0
 0  2 6454048 156116   6848 173316 8600    0  9120     0 2091 2272  0  0 86 14  0
 0  3 6484116 173544   6848 172988 9488 38916  9488 39812 1789 2019  0  1 83 16  0
 0  1 6480788 170520   6856 173052 3420    0  3468   588 1129 1425  0  0 86 14  0
 0  1 6480472 175808   6856 172264 80288 79876 80288 79880 3901 5580  0  3 93  4  0
 1  0 6466196 162680   6836 171620 71736 57348 71792 57348 3705 5100  1  2 94  4  0
 1  1 6481300 170768   6776 171116 68692 83972 68692 83972 3481 4780  1  2 93  4  0
 1  1 6505364 190928   6524 169084 52404 76204 52588 76204 2698 3694  0  2 93  5  0
 0  2 6546324 231760   5788 166948 53568 94820 53568 94820 2828 3806  0  2 93  5  0
 1  0 6488212 171532   5796 167364 75488 17476 75904 17532 3375 5252  1  1 95  4  0
 0  1 6505108 191440   4936 165092 75572 92228 75592 92228 4273 5406  0  3 90  7  0
 1  0 6472596 152852   4884 164800 85860 53256 85860 53304 4263 5917  0  2 94  3  0
 0  2 6495676 167404   4756 164264 67124 90132 67124 90132 3618 4675  1  2 93  4  0
 1  0 6484796 163184   4576 163276 60180 49156 60184 49156 3178 4241  0  2 94  4  0
 0  2 6520116 177512   4080 161712 65888 101212 65888 101212 3620 4605  0  2 94  4  0
 0  2 6575508 233936   3704 159244 42276 97528 42376 97528 2746 3170  0  2 88  9  0
 0  2 6513812 158368   3632 159064 100456 38804 100496 38804 4526 6843  1  2 93  4  0
 0  1 6537108 176724   3508 157964 50508 73860 50540 73860 2744 3695  0  2 93  4  0
 0  1 6564500 199688   3024 156012 62984 90180 62984 90180 3301 4399  1  2 93  4  0
 0  1 6529172 156092   2988 156100 88540 53248 88540 53248 4331 6146  1  2 95  3  0
