wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6366100 165776   3012 154060 42952 58440 43008 58440 2886 3312  0  2 93  5  0
 0  2 6359956 156444   2936 153416 57680 51228 57772 51228 3785 4415  0  2 93  5  0
 1  0 6353556 164500   2816 152408 41864 35540 41864 35540 2735 3333  0  2 94  5  0
 0  2 6356372 160808   2736 152540 37408 40208 37872 40260 2729 3230  0  1 92  6  0
 0  1 6361800 179448   2492 151508 52624 58120 52624 58120 3370 4049  0  2 93  5  0
 1  1 6343316 149216   2372 151072 51352 32760 51352 32760 3401 4320  0  2 94  4  0
 0  2 6359524 165068   2044 150812 20780 36600 20780 37172 2184 2317  0  1 92  7  0
 0  1 6349632 161768   1752 150368 44328 34292 44328 34520 2820 3344  0  1 96  2  0
 0  2 6367892 179920   1360 150324 36340 54568 36896 54568 2547 2854  0  2 93  5  0
 0  2 6363028 165060   1360 159988 5872    0 15336     0 1178 1048  0  0 95  5  0
 0  4 6357140 154444   1460 160660 9220    0 10344    40 1371 1184  0  1 83 16  0
 0  2 6379684 162200   1460 168080 17416 40132 25572 40132 2471 2195  0  1 86 13  0
 0  1 6366168 158672   1452 168588 43192 29464 43876 29464 3103 3768  1  1 94  4  0
 0  5 6454164 238548   1624 162692 8768 96420  9204 96420 1755 1445  0  2 82 16  0
 0  2 6454164 251880   3024 164916 2488 2576  6004  2576 1221 1299  0  0 84 16  0
 0  1 6372756 169492   3024 165452 81948    0 82444     0 4174 6089  1  1 94  4  0
 0  5 6360468 157600   3036 164836 46244 33804 46440 33864 3290 3597  0  1 91  7  0
 0  2 6376084 168452   3032 164072 40500 56196 40528 56840 2937 3234  0  2 91  7  0
 1  3 6360468 157096   3032 163844 37420 21672 37708 21676 3476 3731  0  1 92  6  0
 1  0 6379412 168784   3032 163128 35004 54144 35340 54144 2619 2882  0  2 90  8  0
 0  4 6368404 165752   3020 162264 45876 34988 45932 34988 3068 3555  0  2 92  6  0
 0  1 6378900 170020   2976 160788 29532 39912 29744 39912 2313 2483  0  1 89  9  0
 0  1 6370896 161956   2984 160532 25772 17696 25788 18208 1867 2090  0  1 90  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 6354324 154396   2760 159240 65260 49048 65264 49048 4189 4904  1  2 94  4  0
 0  1 6377364 185620   2732 156184 28888 51808 29568 51808 2547 2581  0  1 95  4  0
 1  1 6338964 150316   2712 154772 74856 36280 75028 36280 4219 5509  1  2 93  5  0
 0  1 6363284 164216   2616 153132 28312 52576 28472 52576 2431 2430  0  2 94  4  0
 1  1 6360468 159696   2512 151904 40148 37472 40248 37472 2842 3833  0  1 96  3  0
 0  1 6362772 165736   2480 150892 55048 56956 55048 56992 3151 4075  0  2 92  6  0
 0  1 6343532 153136   2476 150548 45156 25720 45284 25720 2999 3603  0  2 94  4  0
 1  0 6353556 165484   2368 149776 52312 62620 52324 62620 3633 4078  0  2 90  7  0
 0  1 6374036 179272   2280 148824 37740 58004 37804 58004 2846 2994  0  2 92  6  0
 0  1 6346512 162964   2260 148440 44280 16872 44280 16872 2734 3534  0  1 95  3  0
 0  3 6342816 160184   2256 148012 43728 39920 43744 39920 2808 3482  0  2 94  4  0
 3  1 6338464 152364   3560 151412 4832    0  9596     0 1167 1053  0  0 90 10  0
 0  2 6371988 177688   3720 154476 3528 37536  7620 37536 1828 1161  0  1 85 14  0
 0  3 6358708 164584   3428 156416 30632 17044 32952 17044 2967 3034  0  1 93  6  0
 1  1 6361492 164796   3672 158232 14340 17080 16452 17084 2281 2009  0  1 89 10  0
 0  3 6377620 178152   3380 151580 34968 51108 34968 51628 2635 3182  0  2 90  8  0
 0  6 6432916 235608   3524 152124 1936 57228  2700 57444 1251  924  0  2 85 14  0
 0  1 6444520 248280   3592 154592 5120 16508  7408 16588 2144 1653  0  1 85 14  0
 1  1 6354152 158480   3592 155068 90288    0 90748     0 4754 7025  1  2 94  4  0
 0  1 6359288 165260   3848 155156 13348 18172 13960 18908 1975 1654  0  1 92  7  0
 0  1 6384276 179388   3812 153740 53968 78924 54036 78924 3941 4185  1  2 93  4  0
