bonito:~/git/frozemm/expms-disk/simple$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4 5844836 162816  10964 134120 4812    0  8880     0  970 1010  0  0 90 10  0
 0  2 5837924 153792  11652 139360 6784    0 12328     0 1735 1265  0  0 89 10  0
 0  2 5867620 173756  11804 141572 5384 34832  9320 34832 2140 1644  0  1 87 12  0
 0  2 5861476 159956  12088 147296 6648    0 12144     0 2673 1588  0  1 89 10  0
 0  3 5904996 209684  10972 136916 39740 83072 40852 83768 3233 3383  0  2 90  7  0
 1  0 5931268 240208  10912 133400 23596 50112 23676 50488 1531 2017  0  1 84 15  0
 0  1 5871460 179224   9876 128120 115572 55328 115572 55328 4980 7803  1  3 93  3  0
 1  0 5860452 177452   9368 123912 78564 67612 78564 67612 3694 5434  1  2 93  4  0
 0  2 5849188 160332   8532 118108 95632 84604 95632 84604 4429 6547  1  2 93  3  0
 0  2 5903716 218812   9036 116620 6528 60836  8424 60836 1712 1355  0  1 88 10  0
 0  2 5852480 166524   8448 114084 111292 59996 111304 59996 5096 7667  1  2 93  4  0
 0  2 5877860 190932   7712 111280 51516 77056 51516 77092 2770 3731  0  2 92  6  0
 0  2 5877092 190240   7040 107292 86948 86016 86948 86016 4027 5967  0  2 93  4  0
 0  2 5874532 184128   5964 103280 79572 76608 79572 76608 3732 5483  1  2 93  4  0
 0  4 5929424 249516   5916 105932 3700 58896  7884 58896 1324 1042  0  1 87 12  0
 0  4 5924816 241240   6220 111484 4728    0 11104     0 2418 1974  0  1 86 13  0
 0  2 5881188 190992   4680 108440 96252 52368 97204 52428 4422 6706  1  2 93  4  0
 1  0 5864820 180440   4680 106820 78996 62340 78996 62340 3743 5468  1  2 93  4  0
 0  1 5928176 253808   4464 101696 34256 100384 34256 101012 2335 2703  0  2 93  5  0
 0  2 5873592 214812   3068  95936 104148 61884 104148 61884 4660 7125  1  2 93  4  0
 0  1 5852372 210284   3776  97396 47540 30376 50184 30376 3046 4046  0  2 93  5  0
 0  2 5888476 253844   3508  91588 64604 106540 64604 106612 3392 4587  0  3 92  5  0
 1  1 5775972 156572   3308  86608 127548 16088 127548 16088 5145 8498  1  2 91  6  0
 1  1 5753444 153800   3308  86428 99232 76072 99232 76072 4742 6813  1  3 94  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 5755748 154808   3308  86712 67368 69632 67488 69632 3857 4849  1  2 94  3  0
 0  2 5763940 157204   3308  87644 47256 55296 48124 55296 3188 3845  0  2 93  6  0
 0  1 5760612 156384   3420  89276 60940 57344 62800 57344 3706 4642  0  2 93  5  0
 0  1 5756192 154368   3420  89392 74160 69632 74160 69632 3765 5221  1  2 95  3  0
 0  1 5757680 153580   3420  89276 72100 73728 72100 73728 3907 5064  1  2 94  4  0
 0  1 5752164 153580   3420  89500 83224 77824 83224 77824 4347 5823  1  3 94  2  0
 0  1 5753700 153580   3420  89276 74280 75776 74280 75776 4067 5242  1  3 94  3  0
 1  0 5754468 152068   3412  89224 74944 75776 74944 75788 4181 5393  1  3 93  3  0
 1  0 5707876 152128   3356  88996 103992 57344 104112 57344 5114 7131  1  2 94  3  0
 0  1 5724772 157672   3352  89124 69140 86016 69140 86016 3693 4914  0  2 93  4  0
 0  2 5711204 152632   3336  89240 64876 51200 65248 51200 3513 4684  0  2 93  4  0
 0  2 5726640 151844   3316  89384 75204 90628 75204 90628 3953 5393  0  2 93  5  0
 1  0 5717092 153316   3292  89596 78928 69116 78956 69116 4151 5624  1  2 94  4  0
 0  2 5726308 149032   3260  89252 74424 83780 74528 83780 4074 5290  1  2 93  5  0
 0  1 5720932 148024   3228  89620 73372 67772 73372 67772 3830 5199  0  2 93  5  0
 1  2 5729892 148812   3228  89604 77396 86016 77516 86016 3920 5401  0  2 93  4  0
 0  2 5724260 146040   3184  97940 5616    0 16984     0 1161 1033  0  0 94  6  0
 0  2 5743460 153284   3288 100712 16320 35540 23188 35540 2184 2149  0  1 89  9  0
 1  0 5833060 242236   3252 101208 8336 97836  8932 97836 1261  924  0  2 90  9  0
 1  1 5835716 235904   2756  97528 96048 98948 96048 98948 4412 6537  1  2 91  6  0
 0  1 5751140 152996   2032  91432 129952 45064 129952 45120 5526 8729  1  3 94  3  0
 1  1 5751652 152744   2032  91196 72524 72952 72524 72952 3796 5102  0  2 95  2  0
 0  4 5769316 157768   3464  94816 11584 29448 16992 29460 1338 1364  0  1 89 10  0
 0  3 5769828 155020   5212  98556 3568 4096  9548  4096 1444 1386  0  0 88 11  0
 0  6 5879652 247740   5372 101340 2808 112476  7408 112476 1557  921  0  2 78 20  0
 0  4 5882724 241124   5660 103888 5908 8524  8800  8524 1413 1184  0  0 87 13  0
 1  0 5801572 154436   5684  99460 116016 34824 116584 35220 5183 8014  1  2 94  3  0
 0  1 5800036 154972   5568  99596 63224 61460 63488 61460 3507 4602  0  2 92  6  0
 0  5 5802340 152924   5664 101696 3516 6144  5936  6144 1281 1114  0  0 81 19  0
 0  5 5819848 156324   5884 106184 2792 20480  7704 20552 1319  998  0  1 80 19  0
 0  1 5819228 154488   6176 108248 41640 40960 44152 40960 2928 3471  0  2 87 11  0
 1  1 5817444 150424   6056 107960 70868 68648 70868 68648 4050 5221  1  3 91  6  0
 0  2 5864036 180404   5784 107400 48348 95200 48388 95200 3212 3654  1  2 91  6  0
 0  2 5840996 154328   5784 108288 33748 10240 34272 10240 3003 3478  0  1 90  8  0
 0  2 5828964 152280   5792 108292 11840    0 11840    64 2365 2314  0  1 87 12  0
 0  2 5841764 154800   5756 108244 12176 22528 12176 22528 2267 2592  0  1 92  7  0
 1  1 5851492 158400   5724 108808 12840 20480 13172 20480 2435 2706  0  1 92  7  0
 1  1 5873764 169984   5796 108884 27192 49208 27776 50244 2186 2308  0  1 93  5  0
 0  3 5897572 179984   5552 108620 65408 89332 65500 89332 3553 4744  1  2 90  7  0
 0  2 5862500 161832   5224 108208 86020 51100 86052 51100 4564 6160  1  2 93  4  0
 0  1 5871808 178040   5076 107244 60716 69996 60964 69996 3540 4405  0  2 92  5  0
 0  1 5872740 177396   4920 106444 77456 78476 77456 78588 3946 5497  1  2 93  5  0
 1  0 5846628 159576   4420 105692 78804 52348 79088 53192 3958 5614  0  2 89  8  0
 1  0 5848164 168900   3248 103288 82424 83904 82424 83904 4038 5685  1  2 93  4  0
 1  1 5877860 196588   3424 102816 13456 43192 14856 43192 1519 1567  0  1 89 10  0
 1  1 5831780 152008   3664 102560 89240 42808 89732 42980 4651 6339  1  2 94  4  0
 0  3 5855332 176404   3172  99704 68656 92056 68656 92140 3711 4880  0  2 93  4  0
 1  0 5816164 159268   3168  99564 55608 16604 55608 16608 2509 3946  0  1 91  8  0
 0  2 5835364 184248   2688  93920 76948 96004 76948 96084 4810 5339  1  2 92  5  0
 0  2 5885028 236348   2484  89100 56136 105536 56136 105536 3136 4017  0  2 93  4  0
 0  1 5823588 187824   3380  90980 62424 1104 65740  1104 3667 5009  0  1 94  5  0
 2  0 5846700 219356   3004  86828 76176 99456 76176 99456 3792 5287  1  2 92  5  0
 0  2 5798500 171476   3004  87060 104932 56528 105092 56528 5012 7105  2  2 94  2  0
 0  1 5782372 171948   3004  87092 90488 74452 90488 74452 4730 6200  1  2 92  5  0
 0  1 5773156 173020   3004  86980 91212 81940 91212 81940 4435 6225  1  2 94  3  0
 0  1 5765076 168564   2996  88436 68140 60024 69376 60024 4041 5296  0  2 93  4  0
 0  1 5758820 157688   2996  88060 73632 67240 73632 67240 3856 5110  1  2 95  3  0
 0  2 5750628 167516   2996  88040 88456 80444 88840 80444 4483 6168  1  2 93  4  0
 1  0 5767068 181092   2996  87528 62064 78336 62064 78336 3382 4413  0  2 94  4  0
 1  2 5748836 167804   3412  89032 61996 43868 63828 43868 3447 4582  1  2 93  4  0
 0  5 5755492 168300   4888  92196 5496 12048 12256 12048 1594 1297  0  1 92  8  0
 0  1 5750372 161172   5284  96860 4960    0 11960     0 1777 1173  0  0 89 11  0
 0  2 5817956 223644   5276  94192 49800 117052 49952 117052 3458 3683  0  2 90  8  0
 0  2 5834596 244276   5928  96476 4404 21020  7516 21020 1386 1005  0  1 90  9  0
 0  1 5746788 156832   4004  92668 117900 30244 118200 30244 5067 7994  1  2 94  3  0
 1  0 5739876 158344   4004  92260 81608 74396 81608 74396 4395 5680  1  2 93  4  0
 0  3 5769316 188584   5248  93536 10124 39484 13072 39540 1809 1652  0  1 91  8  0
 0  1 5759588 175252   5228  92984 76672 66612 77496 66612 4549 5580  1  2 90  8  0
 0  3 5783908 194160   4668  91072 50428 74732 50616 75292 2644 3623  0  2 92  6  0
 0  3 5754724 161972   4664  92588 42524 13636 44000 13748 2303 3197  0  1 88 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 5791724 195464   4228  87076 58564 95252 58564 95556 3186 4147  0  2 95  3  0
 1  0 5757796 170516   4196  82816 93700 59828 93700 59828 4645 6422  1  2 94  4  0
 0  2 5822820 240716   3832  79356 35200 100004 36084 100004 2534 2959  0  2 85 12  0
 1  0 5783652 200300   3996  81208 38880    0 40784    72 2425 3237  0  1 89 10  0
 0  0 358244 15817536   4132  81380 1484    0  1788     0 1399  886  0  5 94  1  0
 0  0 358244 15817504   4132  81380    0    0     0     0   81   92  0  0 100  0  0
 0  1 357988 15814260   4132  84472  152    0  3244     0  240  269  0  0 99  1  0
 1  1 349284 15798872   4268 102536 6696    0 16072     0  909 1258  0  0 98  2  0
 0  0 349028 15792604   4268 107544  320    0  5500     0  639  612  0  0 97  3  0
 0  0 349028 15792612   4268 107544    0    0     0     0   77   97  0  0 100  0  0
 0  0 349028 15792492   4268 107680    0    0     0     0   49   68  0  0 100  0  0
 0  0 349028 15792468   4268 107680    0    0     0     0   72   94  0  0 100  0  0
